List of atest categorized lines
CVE-2021-39693           atest ForegroundModeAndActiveTest
CVE-2021-39697           atest HelpersTest
CVE-2021-39690           atest SurfaceFlinger_test
CVE-2021-39690           atest libsurfaceflinger_unittest
CVE-2021-39619           atest UserUsageStatsServiceTest
CVE-2021-39619           atest UsageStatsTest [all]
CVE-2021-0799            atest CtsContentTestCases:android.content.cts
CVE-2021-0921            atest com.android.server.pm.test.parsing.parcelling
CVE-2020-13871           atest SQLiteSecurityTest
CVE-2021-0708            atest CtsPermissionTestCases:ShellCommandPermissionTest
CVE-2020-15358           atest SQLiteSecurityTest
CVE-2021-0702            atest ApexServiceRevertTest
CVE-2021-0651            atest PackageManagerTest
CVE-2021-0687            atest CtsTextTestCases CtsGraphicsTestCases CtsWidgetTestCases
CVE-2021-0683            atest CtsPermissionTestCases:ShellCommandPermissionTest
CVE-2021-0684            atest inputflinger_tests (on a hwasan build)
CVE-2021-0685            atest com.android.server.pm.test.parsing.parcelling
CVE-2021-0686            atest RoleSecurityTest
CVE-2021-0645            atest DocumentsTest
CVE-2021-0486            Atest StorageEscalationTest
CVE-2021-0472            atest LockTaskControllerTest
CVE-2021-0485            atest PinnedStackTests#testEnterPipWithTinyMinimalSize
CVE-2021-0432            atest statsd_test, wrote a repro cl.
CVE-2021-0398            atest cts/tests/app/src/android/app/cts/ActivityManagerFgsBgStartTest.java#testFgsLocationStartFromBGWithBind
CVE-2021-0314            atest CtsPackageUninstallTestCases Fixes: 171221302
CVE-2021-0337            atest DocumentsTest#testAfterMoveDocumentInStorage_revokeUriPermission
CVE-2021-0340            atest MediaStore_Video_MediaTest
CVE-2021-0307            atest RemovePermissionTest
CVE-2021-0310            atest aidl_lazy_test
CVE-2021-0317            atest PermissionEscalationTest
CVE-2021-0321            atest CtsSecurityTestCases:ActivityManagerTest
CVE-2020-0099            atest CtsWindowManagerDeviceTestCases:android.server.wm.PresentationTest CtsDisplayTestCases:android.display.cts.VirtualDisplayTest
CVE-2020-0440            atest VirtualDisplayTest#testTrustedVirtualDisplay
CVE-2020-0440            atest frameworks/base/packages/SystemUI/tests/src/com/android/systemui/bubbles
CVE-2020-0440            atest DisplayTest
CVE-2020-0440            atest VirtualDisplayTest#testTrustedVirtualDisplay
CVE-2020-0440            atest VirtualDisplayTest#testUntrustedSysDecorVirtualDisplay
CVE-2020-0459            atest FrameworksWifiTests
CVE-2020-0464            atest Because DnsResolver had been moved to another git project in R, use aosp/1302595 as Merged-In tag to avoid conflict.
CVE-2020-0467            atest FrameworksNetTests
CVE-2020-0468            (cts) atest TelephonyLocationTests; atest PhoneStateListenerTest
CVE-2020-0469            atest com.android.server.locksettings
CVE-2020-0418            Manual + `atest PermissionsHostTest`
CVE-2020-0439            atest EphemeralTest
CVE-2020-0454            atest ConnectivityServiceTest (frameworks/base/tests/net)
CVE-2020-0454            atest frameworks/base/tests/net
CVE-2020-0454            atest frameworks/opt/net/wifi/tests/wifitests
CVE-2020-0454            atest frameworks/opt/telephony/tests/telephonytests
CVE-2020-0454            atest frameworks/opt/net/ethernet/tests
CVE-2020-0454            atest android.net.cts - some flakiness!
CVE-2020-0454            atest SingleDeviceTest (cts)
CVE-2020-0443            atest LocaleListTest
CVE-2020-0419            atest SessionReferrerUriTest
CVE-2020-0240            atest proxy_resolver_v8_unittest
CVE-2020-0257            atest CtsExternalServiceTestCases
CVE-2020-0115            atest OsHostTests#testIntentFilterHostValidation
CVE-2020-0121            (on master) atest CtsAppOpsTestCases:android.app.appops.cts.ForegroundModeTest
CVE-2020-0098            atest ActivityStackTests#testNavigateUpTo
CVE-2020-0080            atest AppOpsControllerTest
CVE-2020-0081            atest android.security.cts.AssetManagerTest
CVE-2020-0082            atest ExternalVibrationTest#testSerialization
CVE-2020-0031            atest android.autofillservice.cts.augmented
CVE-2020-0014            atest CtsWindowManagerDeviceTestCases:ToastTest
CVE-2019-2200            atest android.permission.cts.RemovePermissionTest
CVE-2020-0017            atest android.view.textclassifier atest android.widget.TextViewActivityTest (manual) See I2fdffd8eb4221782cb1f34d2ddbe41dd3d36595c
CVE-2020-0020            atest ExifInterfaceTest
CVE-2019-9464            atest com.android.settingslib.location.RecentLocationAppsTest atest CtsPermissionTestCases added: LocationAccessCheckTest#notificationOnlyForAccessesSinceFeatureWasEnabled added: LocationAccessCheckTest#noNotificationIfFeatureDisabled added: LocationAccessCheckTest#noNotificationIfBlamerNotSystemOrLocationProvider added: LocationAccessCheckTest#testOpeningLocationSettingsDoesNotTriggerAccess
CVE-2019-2221            atest BackgroundActivityLaunchTest \ RootWindowContainerTests \ WmTests:ActivityStarterTests \ CtsWindowManagerDeviceTestCases:ActivityStarterTests
CVE-2019-2123            atest CtsOsTestCases:ParcelTest#testObjectDoubleFree
CVE-2019-2175            atest FrameworksUiServicesTests
CVE-2019-9254            atest CtsAppTestCases:android.app.cts.ServiceTest
CVE-2019-2122            atest LockTaskControllerTest
CVE-2018-20346           atest cts/SQLiteDatabaseTest all passed.
CVE-2018-20346           atest cts/SQLSecurityTest
CVE-2019-2003            atest android.view.textclassifier.TextClassificationManagerTest \ android.text.util.cts.LinkifyTest \ android.text.util.LinkifyTest \ android.widget.TextViewActivityTest
CVE-2018-9582            Existing tests pass: atest GtsPackageInstallTestCases GtsNoPermissionTestCases \ GtsNoPermissionTestCases25
CVE-2018-9492            atest android.appsecurity.cts.AppSecurityTests
CVE-2018-9493            atest cts/tests/tests/database/src/android/database/sqlite/cts/SQLiteQueryBuilderTest.java
CVE-2018-9458            atest DisplayContentTests (cherry picked from commit 3cd5e3d9bbb3255e874b8fa27d7ed506164905dd)
CVE-2021-0595            atest RootWindowContainerTests
CVE-2021-0313            atest minikin_test
CVE-2018-9410            atest minikin_tests
CVE-2017-13275           atest minikin_tests
CVE-2018-9339            atest CtsAutoFillServiceTestCases pass
CVE-2021-0442            atest WindowInputTests
CVE-2019-2103            atest TransactionTest#SetFlagsSecureEUidSystem



List of manually tested categorized lines
CVE-2021-39692           manual
CVE-2021-39695           manually using the PoC on the buganizer to ensure the symptom no longer exists.
CVE-2021-39664           manual
CVE-2020-0338            manual
CVE-2021-0955            Manual
CVE-2021-0704            manual
CVE-2021-0923            manual
CVE-2021-0933            Manual
CVE-2021-0653            manual
CVE-2021-0922            manual testing
CVE-2021-0705            Manually tested
CVE-2021-0441            manual, screenshot
CVE-2021-0487            manual test
CVE-2021-0439            manual
CVE-2021-0443            manual -- verified bad state occurs if user switches within the timeout period, ensured that screenshots work immediately after switching with this change.
CVE-2021-0444            Manual test with POC app. Observed crash instead of contacts data read.
CVE-2021-0391            manual
CVE-2021-0302            Manual using PoC app from b/154015447#comment1
CVE-2021-0305            Manual using PoC app from b/154015447#comment1
CVE-2021-0339            manual as issue provided test app
CVE-2021-0306            Manual
CVE-2021-0315            manual
CVE-2021-0304            manual
CVE-2021-0322            manual
CVE-2019-9376            manual
CVE-2020-0294            build & flash, change wallpaper manually.
CVE-2020-0441            manual; monitor SystemUI performance when an app tries to post a messaging style notification with messages with long text
CVE-2020-0442            manual; monitor SystemUI performance when an app tries to post a messaging style notification with messages with long text
CVE-2020-0239            manually tested
CVE-2020-0258            manual inspection, PoC no longer works.
CVE-2020-0227            manual
CVE-2020-0097            manually tested ensureSystemPackageName() returns null for non-system app
CVE-2020-0015            Manual, with an app that floats a window.
CVE-2020-0021            manual; remove static dependency on eng Q build and reboot
CVE-2020-0001            Manual
CVE-2019-2232            Manually done
CVE-2019-2232            StaticLayoutTest
CVE-2019-2218            Manual. App can't be installed as test-only
CVE-2019-2192            Manual
CVE-2019-2199            pushed manual privapp that attempts an install with INSTALL_DISABLE_VERIFICATION flag. Checked that PackageVerifier was called.
CVE-2019-2197            Manual test
CVE-2019-2173            manual; we added logging statements to check the value of realCallingUid in startActivitiesMayWait when launching the calendar app from the calendar widget and verified that it was the calendar uid rather than the system uid.
CVE-2019-2125            manual. CTS infeasible since it's UI.
CVE-2019-2043            manual
CVE-2018-9547            manual
CVE-2018-9524            manual (see bug for poc)
CVE-2018-9452            Manually done
CVE-2018-9445            manual
CVE-2017-13310           manual (cherry picked from commit 187964aca12115c7ab66f59d1ebb95e4f4130ac6)
CVE-2019-2220            run app that records audio, then "adb shell appops __pack_name__ 27 2" and verify recording is silent after that.


List of PoC categorized lines
CVE-2021-0640            POC in bug no longer led to the OOB write & crash
CVE-2021-0327            PoC in bug
CVE-2020-0238            PoC app
CVE-2020-0238            make RunSettingsRoboTests -j ROBOTEST_FILTER=com.android.settings.accounts
CVE-2020-0114            run poc, device didn't reboot
CVE-2019-2121            POC test steps in b/131105245.
CVE-2018-9522            Tested with provided POC app by external researcher.
CVE-2017-13311           PoC app in the bug
CVE-2020-0004            Write a custom app to set a 8000x800 bitmap as wallpaper.
CVE-2021-0318            Run test code that attempts to enable a sensor after destroying the SensorEventConnection, and verify no system_server crash occurs.


List of make/build categorized lines
CVE-2021-0646            builds
CVE-2021-0330            compile
CVE-2020-15999           m -j
CVE-2019-2195            compiles and boots
