CVE Reference       Cross Referenced File                   Test File                                         
CVE-2017-13227      AutofillManagerServiceImpl.java         ActivityManagerPermissionTests.java               
CVE-2017-13227      Session.java                            ActivityManagerPermissionTests.java               
CVE-2017-13227      Session.java                            VibratorManagerServicePermissionTest.java         
CVE-2018-9458       PhoneWindowManager.java                 ActivityManagerPermissionTests.java               
CVE-2018-9458       DisplayContentTests.java                WindowManagerPermissionTests.java                 
CVE-2018-9458       RootWindowContainer.java                WindowManagerPermissionTests.java                 
CVE-2018-9458       TestWindowManagerPolicy.java            VibratorManagerServicePermissionTest.java         
CVE-2018-9458       WindowManagerPolicy.java                WindowManagerPermissionTests.java                 
CVE-2018-9458       WindowManagerService.java               ActivityManagerPermissionTests.java               
CVE-2018-9458       WindowManagerService.java               WindowManagerPermissionTests.java                 
CVE-2018-9458       PhoneWindowManager.java                 VibratorManagerServicePermissionTest.java         
CVE-2018-9458       WindowManagerPolicy.java                VibratorManagerServicePermissionTest.java         
CVE-2018-9458       PhoneWindowManager.java                 WindowManagerPermissionTests.java                 
CVE-2018-9469       ShortcutService.java                    ActivityManagerPermissionTests.java               
CVE-2018-9490       Android.mk                              VibratorManagerServicePermissionTest.java         
CVE-2018-9492       ActivityManagerService.java             WindowManagerPermissionTests.java                 
CVE-2018-9492       ActivityManagerService.java             ActivityManagerPermissionTests.java               
CVE-2018-9524       WindowManagerService.java               ActivityManagerPermissionTests.java               
CVE-2018-9524       WindowManagerService.java               WindowManagerPermissionTests.java                 
CVE-2019-2090       PackageManagerService.java              ActivityManagerPermissionTests.java               
CVE-2019-2090       PackageManagerService.java              PmPermissionsTests.java                           
CVE-2019-2091       DevicePolicyManagerService.java         ActivityManagerPermissionTests.java               
CVE-2019-2092       DevicePolicyManagerService.java         ActivityManagerPermissionTests.java               
CVE-2019-2121       ActivityManagerService.java             WindowManagerPermissionTests.java                 
CVE-2019-2121       ActivityManagerService.java             ActivityManagerPermissionTests.java               
CVE-2019-2122       LockTaskController.java                 ActivityManagerPermissionTests.java               
CVE-2019-2122       LockTaskControllerTest.java             WindowManagerPermissionTests.java                 
CVE-2019-2122       LockTaskController.java                 WindowManagerPermissionTests.java                 
CVE-2019-2173       ActivityStarter.java                    WindowManagerPermissionTests.java                 
CVE-2019-2173       ActivityManagerService.java             ActivityManagerPermissionTests.java               
CVE-2019-2173       ActivityManagerService.java             WindowManagerPermissionTests.java                 
CVE-2019-2173       ActivityStarter.java                    ActivityManagerPermissionTests.java               
CVE-2019-2199       PackageInstallerService.java            PmPermissionsTests.java                           
CVE-2019-2218       PackageInstallerService.java            PmPermissionsTests.java                           
CVE-2020-0004       WallpaperManagerService.java            ActivityManagerPermissionTests.java               
CVE-2020-0004       WallpaperManagerService.java            WindowManagerPermissionTests.java                 
CVE-2020-0021       PackageManagerService.java              ActivityManagerPermissionTests.java               
CVE-2020-0021       PackageManagerService.java              PmPermissionsTests.java                           
CVE-2020-0082       ExternalVibration.java                  VibratorManagerServicePermissionTest.java         
CVE-2020-0096       ActivityStarter.java                    ActivityManagerPermissionTests.java               
CVE-2020-0096       ActivityStarter.java                    WindowManagerPermissionTests.java                 
CVE-2020-0097       PackageManagerService.java              PmPermissionsTests.java                           
CVE-2020-0097       PackageManagerService.java              ActivityManagerPermissionTests.java               
CVE-2020-0098       ActivityStack.java                      ActivityManagerPermissionTests.java               
CVE-2020-0098       ActivityStarter.java                    WindowManagerPermissionTests.java                 
CVE-2020-0098       ActivityManagerService.java             WindowManagerPermissionTests.java                 
CVE-2020-0098       ActivityStarter.java                    ActivityManagerPermissionTests.java               
CVE-2020-0098       ActivityManagerService.java             ActivityManagerPermissionTests.java               
CVE-2020-0098       ActivityStackTests.java                 WindowManagerPermissionTests.java                 
CVE-2020-0098       ActivityStack.java                      WindowManagerPermissionTests.java                 
CVE-2020-0099       WindowManagerService.java               ActivityManagerPermissionTests.java               
