CVE Reference            File Name                               Associated Test Information                       
CVE-2021-0486            PackageManagerService.java              Atest StorageEscalationTest                       
CVE-2021-0521            PackageManagerService.java              run iorapd and check it works well.               
CVE-2021-0306            PackageManagerService.java              Manual                                            
CVE-2020-0439            PackageManagerService.java              atest EphemeralTest                               
CVE-2020-0115            PackageManagerService.java              atest OsHostTests#testIntentFilterHostValidation  
CVE-2020-0097            PackageManagerService.java              manually tested ensureSystemPackageName() returns null for non-system app
CVE-2020-0021            PackageManagerService.java              manual; remove static dependency on eng Q build and reboot
CVE-2019-2090            PackageManagerService.java              SafetyNet logging (steps listed above)            
CVE-2021-0327            ActivityManagerService.java             PoC in bug                                        
CVE-2021-0321            ActivityManagerService.java             atest CtsSecurityTestCases:ActivityManagerTest    
CVE-2020-0098            ActivityManagerService.java             atest ActivityStackTests#testNavigateUpTo         
CVE-2019-2173            ActivityManagerService.java             manual; we added logging statements to check the value of realCallingUid in startActivitiesMayWait when launching the calendar app from the calendar widget and verified that it was the calendar uid rather than the system uid.
CVE-2019-2121            ActivityManagerService.java             POC test steps in b/131105245.                    
CVE-2018-9492            ActivityManagerService.java             atest android.appsecurity.cts.AppSecurityTests    
CVE-2021-0438            WindowManagerService.java               Existing tests pass                               
CVE-2021-0339            WindowManagerService.java               manual as issue provided test app                 
CVE-2020-0099            WindowManagerService.java               atest CtsWindowManagerDeviceTestCases:android.server.wm.PresentationTest CtsDisplayTestCases:android.display.cts.VirtualDisplayTest
CVE-2018-9524            WindowManagerService.java               manual (see bug for poc)                          
CVE-2018-9458            WindowManagerService.java               atest DisplayContentTests (cherry picked from commit 3cd5e3d9bbb3255e874b8fa27d7ed506164905dd)
CVE-2021-0923            PermissionManagerService.java           manual                                            
CVE-2021-0486            PermissionManagerService.java           Atest StorageEscalationTest                       
CVE-2021-0306            PermissionManagerService.java           Manual                                            
CVE-2019-2200            PermissionManagerService.java           atest android.permission.cts.RemovePermissionTest 
CVE-2021-0705            Notification.java                       Manually tested                                   
CVE-2020-0441            Notification.java                       manual; monitor SystemUI performance when an app tries to post a messaging style notification with messages with long text
CVE-2020-0442            Notification.java                       manual; monitor SystemUI performance when an app tries to post a messaging style notification with messages with long text
CVE-2021-39695           BasePermission.java                     manually using the PoC on the buganizer to ensure the symptom no longer exists.
CVE-2021-0306            BasePermission.java                     Manual                                            
CVE-2021-0317            BasePermission.java                     atest PermissionEscalationTest                    
CVE-2020-0096            ActivityStarter.java                    run cts --test android.server.cts.StartActivityTests \ -m CtsServicesHostTestCases
CVE-2020-0098            ActivityStarter.java                    atest ActivityStackTests#testNavigateUpTo         
CVE-2019-2173            ActivityStarter.java                    manual; we added logging statements to check the value of realCallingUid in startActivitiesMayWait when launching the calendar app from the calendar widget and verified that it was the calendar uid rather than the system uid.
CVE-2019-5018            SQLiteSecurityTest.java                 cts-tradefed run cts -m CtsDatabaseTestCases -t android.database.sqlite.cts.SQLiteSecurityTest
CVE-2019-8457            SQLiteSecurityTest.java                 cts-tradefed run cts -m CtsDatabaseTestCases -t android.database.sqlite.cts.SQLiteSecurityTest
CVE-2019-9936            SQLiteSecurityTest.java                 cts-tradefed run cts -m CtsDatabaseTestCases -t android.database.sqlite.cts.SQLiteSecurityTest
CVE-2021-39619           DevicePolicyManagerService.java         atest UserUsageStatsServiceTest                   
CVE-2021-39619           DevicePolicyManagerService.java         atest UsageStatsTest [all]                        
CVE-2019-2091            DevicePolicyManagerService.java         com.android.server.devicepolicy.DevicePolicyManagerTest
CVE-2019-2091            DevicePolicyManagerService.java         com.google.android.gts.devicepolicy.DeviceOwnerTest
CVE-2019-2092            DevicePolicyManagerService.java         build, set up separate challenge                  
CVE-2021-0322            SliceProvider.java                      manual                                            
CVE-2019-2192            SliceProvider.java                      Manual                                            
CVE-2021-0486            PermissionManagerServiceInternal.java   Atest StorageEscalationTest                       
CVE-2021-0306            PermissionManagerServiceInternal.java   Manual                                            
CVE-2021-0472            LockTaskControllerTest.java             atest LockTaskControllerTest                      
CVE-2019-2122            LockTaskControllerTest.java             atest LockTaskControllerTest                      
CVE-2021-0315            GrantCredentialsPermissionActivity.java manual                                            
CVE-2021-0309            GrantCredentialsPermissionActivity.java Existing CTS tests                                
CVE-2020-0418            GrantPermissionsActivity.java           Manual + `atest PermissionsHostTest`              
CVE-2019-2005            GrantPermissionsActivity.java           - Revoked all permissions from camera - Set lock screen PIN - Opened camera app -> Camera app asks for permissions - Locked screen - Granted permission from in front of lock screen
CVE-2021-0645            ExternalStorageProvider.java            atest DocumentsTest                               
CVE-2021-0337            ExternalStorageProvider.java            manual test with DocumentsUI                      
CVE-2021-0337            ExternalStorageProvider.java            atest DocumentsTest#testAfterMoveDocumentInStorage_revokeUriPermission
CVE-2020-0017            TextClassification.java                 atest android.view.textclassifier atest android.widget.TextViewActivityTest (manual) See I2fdffd8eb4221782cb1f34d2ddbe41dd3d36595c
CVE-2019-2003            TextClassification.java                 atest android.view.textclassifier.TextClassificationManagerTest \ android.text.util.cts.LinkifyTest \ android.text.util.LinkifyTest \ android.widget.TextViewActivityTest
CVE-2020-0294            WallpaperManagerService.java            build & flash, change wallpaper manually.         
